category,title,description
Sales and Retail,Retail Sales Manager,"Our Assistant Managers support the Store Manager in leading teams to maximize the output of the store through the optimization of talent, operational execution, and delivery of a rewarding experience for customers and associates.

Why You’ll Love It
• Closed by 8pm nightly
• Closed on Thanksgiving & Christmas
• Clear path to promotion
• Paid time off
• Bonus opportunity
• Flexible schedules
• Associate discounts
• Stable employment with growing company

What You’ll Do:
• Provide a great experience for our customers
• Ensure items are in stock and priced correctly
• Maintain a safe, clean, and organized store
• Be a subject matter expert in your role and model adherence to standard operating procedures
• Understand and learn other aspects of store operations including stocking associate duties and responsibilities
• Drive and coach program execution and results in accordance with Standard Operating Procedure
• Serve as Leader on Duty as scheduled
• Other duties as assigned

Requirements

What We Need:
• Must be at least 18 years old
• Minimum of two years experience in retail management/leadership role
• Technical, Trade or Vocational degree of High School diploma/equivalent or 2 years management or functional experience.
• Ability to communicate clearly with customers and associates in person and via e-mail and telephone.
• Ability to intermittently lift, push and/or pull up to 50 pounds and stand/move for entire shift.
• Ability to lift, bend, kneel, climb, crawl and/or twist and safely climb up/down a ladder.
• Physically able and willing to become certified to operate a forklift in accordance with IIPP (Injury and Illness Prevention Program).
• Ability to work nights, overnights, weekends and holidays as needed.

About Harbor Freight Tools

In 1977, Harbor Freight Tools was started as a small family-owned business. We made a commitment to provide working people with great quality tools at the lowest prices. And for over 43 years, Harbor Freight Tools has done just that. From hand tools and generators, to air and power tools, from shop equipment to automotive tools, Harbor Freight offers more than 5,000 tools and accessories at quality levels that match or exceed competing brands, but at prices that are up to 80% less. All while developing and launching over 1,000 new tools each year. We're not your typical retailer. We're a team of high-achievers, who have a passion for excellence and continuous improvement and obsess about getting things done. We're also equally committed to doing the right thing and giving back to our community. And for us, collaboration is the golden rule. We're a 43 year-old, $5 billion company with over 1,100 stores, opening 2-3 new stores a week with over 40 million loyal customers and growing. If you are looking for a not so ordinary and highly rewarding career opportunity, we would love to talk with you. Delivering Value to the Hardworking Since 1977.

Position Type

Full Time

What To Expect: The Harbor Freight Hiring Process

At Harbor Freight, we build careers and we want to get to know more about your skills! After submitting your application, please take our quick, fun and easy gamified assessment and show us your skills in action!
• Within 60 minutes after completing your application, you will receive a text and email with a link to the games.
• The games should take 3-5 minutes.
• You can complete this step at any time from your mobile device or computer.

To visit the candidate help center, click here"
Sales and Retail,H&M Retail Sales Advisor,"
Title: Sales Advisor

Function: Sales

Department: Store

Reports to: Department Manager, dotted line to Department Supervisor

You are responsible for delivering a Best Customer Experience that contributes to the Sales and Profit in your store. You always put our customers’ first and offer assistance and share your Product and Fashion knowledge. You create an environment that is easy for our Customers to shop through Store Operations and Great Garment Care. By sharing your knowledge and skills with your colleagues you actively contribute to creating a Best Team in order to meet the expectations of our customers. You work in accordance with H&M standards, policies, procedures and legal requirements. By acting in line with our Values and being a role model, you contribute to H&M’s business success.

Role responsibilities include, but are not limited to:

Best Customer Experience

You are responsible for delivering a Best Customer Experience that contributes to the Sales and Profit in your store. You always put our customers’ first and offer assistance and share your Product and Fashion knowledge.

Direct Customer Service

· Demonstrate the 5 basic demands to greet and engage with our customers in the service areas and on the sales floor

· Apply a ‘Heads up’ approach – be aware of customers that require assistance and offer help

· Use your product and fashion knowledge to inspire the customer by offering purchasing suggestions, promoting campaigns, offers, activities and company initiatives (i.e., sustainability efforts, garment collecting)

Sales & Profit

You are responsible for delivering a Best Customer Experience that contributes to the Sales and Profit in your store. You create an environment that is easy to shop through Store Operations and Great Garment Care. You follow all required H&M procedures, routines and best practices in all areas of the store, so sales goals can be reached

Store Operations

· Keep the fixtures full and tidy regularly throughout the day to maximize sales

· Ensure great garment care to sell the products in their best condition at the right time

· Replenish sizes and allocation to the sales floor through efficient delivery and refill routines to avoid missed sales

· Ensure all areas of the sales floor and back of house are always clean and tidy, this includes but not limited to:

o Maintaining cleanliness of, and sweeping on sales floor, fitting rooms, and BOH areas

o Dusting all counters/hard surfaces, removes all spills, trash and debris from store

o Maintaining the cleanliness of employee kitchen areas including cleaning/disinfecting surfaces

o Maintaining cleanliness of all bathroom facilities on an as needed basis

Garment Processing Procedures

· Actively process, stock and replenish garments on sales floor and stock room

· Fold, hang, display and merchandise garments per H&M guidelines to maximize selling opportunities

· Unload delivery truck, receive, open & unpack merchandise and label merchandise with security tags within efficiency time goals

Cash Handling Procedures

· Handle payments and returns

· Ring on the register, report & handles all required transactions, issue receipts & fold and place merchandise in appropriate bag following the register best practice routine

Policy and Safety Routines

· Follow all procedures and routines regarding safety, security and administrative processes in all areas of the store

· Execute reductions, price changes, and transfers

Best Team

By sharing your knowledge and skills with your colleagues you actively contribute to creating a Best Team in order to meet the expectations of our customers. You work in accordance with H&M standards, policies and procedures and legal requirements.

· Share your knowledge and skills with your colleagues, offering help where needed to build a positive working environment

· Give honest and constructive feedback to your colleagues to develop their skills

· Work in accordance with H&M standards and local legislation with health & safety and security routines, to guarantee you, your colleagues and customer safety at all times

Qualifications

Minimum Qualifications:

· High School graduate or equivalent preferred

· 6 months of experience in customer service, preferred

· Ability to lift in excess of 20 pounds

· Ability to stand for long periods of time, bend, stretch, engage in repetitive motions, push, pull and carry items (mannequins, clothing, totes, torsos, etc) for a short distance

· Ability to climb a ladder and use a step stool

Requirements:

· Excellent customer service skills

· Ability to recognize and execute selling opportunities

· Ability and willingness to run a cash register

· Good communication and organizational skills

· Ability to multi-task in a fast-paced environment

· Ability to take initiative to complete tasks and solve problems

· Ability to meet deadlines

· Ability to manage time and prioritize

· Must be able to work a flexible work schedule including nights and weekends

Financial Accountability: None

Additional Information

All your information will be kept confidential according to EEO guidelines"
Transportation and Logistics,Logistics Engineer,"What You'll Do

ArcBest is a logistics company with creative problem solvers who deliver integrated solutions for complex supply chain challenges

Wanting to join the ArcBest family? In our search for top talent, we are looking for those that will further enable us to deliver on our vision and fully support our values-driven culture.

Currently, we are looking for a Logistics Engineer to join the ArcBest team. The Logistics Engineer is responsible for analyzing customer and system level data to explain current trends and forecast future ArcBest yield. This position also provides analytical support for new and existing business opportunities and is responsible for developing innovative tools and processes to provide business insight and advance yield initiatives.

Your Contribution May Include
• Analyze and report on changes in yield and business profile.
• Identify and evaluate profit and yield improvement opportunities.
• Assist in the examination and efficiencies of prospective business.
• Perform ad-hoc reporting and analysis as needed.
• Participate in development and maintenance of system and process automation.
• Improve quality, productivity, and effectiveness through the Quality Process.
• Work in a team setting to accomplish department goals.
• Other duties and projects, as assigned.

As the Logistics Engineer, you will be a member of the ArcBest Yield Strategy team in Fort Smith, AR. The hours for this role are generally 8:00 AM - 5:00 PM with occasional irregular hours depending on workload.

Ready to apply? Before doing so, please make sure you meet the minimum requirements:

Education: Bachelor’s degree in a technical field, such as Engineering or Mathematics, preferred.

Computer Skills: Proficient in Microsoft Office Suite. Sufficient knowledge of computer models, computer-generated reports and PC networking.

Other Requirements: Ability to travel up to fifty (50) percent, as needed.

If you require accommodation in the application process, please contact arcbhr@arcb.com or call us at (479) 785-8963. An Equal Opportunity Employer including Vet/Disability."
Transportation and Logistics,Logistics Coordinator,"Brambles companies, including CHEP, help move more goods to more people, in more places than any other organisation on earth. Our 330 million pallets, crates and containers are continuously in motion, forming the invisible backbone of the global supply chain and the world’s biggest brands trust us to help them transport their goods more efficiently, sustainably and safely. As pioneers of the sharing economy, Brambles created one of the world's most sustainable logistics businesses through the share and reuse of its platforms under a model known as ‘pooling’. Brambles primarily serves the fast-moving consumer goods (e.g. dry food, grocery, and health and personal care), fresh produce, beverage, retail and general manufacturing industries. The Group employs more than 10,000 people and operates in over 60 countries with its largest operations in North America and Western Europe. For further information, please visit www.brambles.com.

Job Description

Position Purpose:
• Responsible for the order fulfilment, inventory balancing, and order execution of Entry Level Markets which are defined as Planning Clusters of an average volume of 550 orders per week. Proactively manage customer collections and deliveries to ensure customer expectations are exceeded. Actively manage all relocations and other moves related to the operation and service of the network. Provide Holiday Coverage per Logistics Rotational and assigned schedule.

Scope:
• Responsible for planning and execution of assigned entry level market. Volume is estimated at 28,000 truckloads annually per week.

Major/Key Accountabilities:
• Execute on-time to an area volume ~550 truckloads per week
• Deliver to average cost per unit budget for market
• Tender all optimized and manually planned issues, collections, and stock transfers within responsible area.
• Efficiently tracking of all CHEP arranged freight due for delivery daily to ensure on-time shipment and delivery.
• Manages transporter base to ensure consistent customer service and on time delivery by working cross functionally and with provider.
• Resolves all loads in Booked Not Shipped (BNS), Booked Not Received & (BNR), In-transit Relocations statuses daily
• Maintains accurate electronic documentation revolving around responsible area with systematic tools not limited to (SAP, Siebel, Outlook, LEAN, Logistics cockpit, etc.)
• Provide Holiday coverage per Logistics rotation schedule
• Plan all STOs (TPMs), Issues, and Collections within required lead time that fall outside of Master Planning

Measures:
• On Time Performance for Customer Facing and Plant to Plant Relocations
• Transport Budget
• Wal-Mart & TPM Dwell
• Booked Not Shipped/Booked Not Received
• Freight Pay Clean-up

Authority/ Decision Making:
• Daily decision making through planning of unmets

Key contacts:

Internal
• Logistics, Operations, Quality, Customer sales/service,
• Transportation & Voice of the Customer

?External
• Carrier Base
• 3PL Management Groups at Service Centers

Qualifications:

Essential
• Knowledge of Excel, Windows, and MapPoint
• Bachelor’s Degree in related field or 2+ years of relevant experience

Desirable

Experience in the following areas:
• SAP
• BW
• Access
• LEAN
• Siebel

Experience:
• 1 year experience in logistics, customer service, operations and or transportation

Skills and Knowledge:

Technical Skill Requirements:
• Good understanding of warehouse and transportation
• Procedures/operations; strong problem solving, organization, decision-making, communication, and time management skills.

Computer System/Skill Requirements:
• Strong Microsoft office skills required (PPT,
• Excel, Access). Knowledge of SAP, LEAN TMS, Six Sigma/Lean methodologies, and Seibel systems preferred.

Languages:

Essential

English

Preferred Education

Bachelors

Preferred Level of Work Experience

1 - 3 years

We are an Equal Opportunity Employer and we are committed to developing a diverse workforce in which everyone is treated fairly, with respect, and has the opportunity to contribute to business success while realizing his or her potential. This means harnessing the unique skills and experience that each individual brings and we do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state, or local protected class.

Individuals fraudulently misrepresenting themselves as Brambles or CHEP representatives have scheduled interviews and offered fraudulent employment opportunities with the intent to commit identity theft or solicit money. Brambles and CHEP never conduct interviews via online chat or request money as a term of employment. If you have a question as to the legitimacy of an interview or job offer, please contact us at recruitment@brambles.com"
Transportation and Logistics,Group Logistics Manager I - Dedicated Transportation,"Current Employees

If you are a current employee at Ryder (not a Contractor or temporary employee through a staffing agency), please click here (http://wd5.myworkday.com/ryder/d/task/1422$3.htmld) to log in to Workday to apply using the internal application process. To learn how to apply for a position using the Career worklet, please review this quick reference guide (https://rydersystems.service-now.com/sys\attachment.do?sys\id=a39f83621bd99050632a4223cd4bcb91) .

Job Seekers can review the Job Applicant Privacy Policy by clicking HERE. (https://ryder.com/job-applicant-privacy-policy)

You are the driving force behind our company.

Start your career with Ryder today!

MOVE YOUR CAREER FORWARD WITH RYDER!

Be a vital player for one of the largest and most recognizable names in

Logistics, Transportation, Fleet Maintenance and Supply Chain Services in the World!

If you are up to the challenge, Apply Now to work for one of the largest and most respected names in Logistics, Transportation, Fleet Maintenance and Supply Chain Services in the World!

Summary

The Group Manager Logistics I manages the overall financial, operational and employee aspects of multiple accounts. This individual is responsible for the profitable retention and growth of business within his/her span of control (multiple accounts), while ensuring that financial, employee, safety and customer satisfaction goals are met.

In Addition To a Comprehensive Benefit Package, a 401(K) Savings Plan With a Company Match, Discounted Stock Purchase Options And Performance-based Annual Cost Of Living Increases, We Are Proud To Offer
• Comprehensive training and the ability to continue your professional development
• Regional and local Ryder resources to help guide and support as we grow this offering.
• The stability and peace-of-mind that comes with working for a World-Class, Fortune 500 organization that has been in business for over 85 years with over 36,000 employees worldwide.

We are seeking the best and most promising candidates to provide creativity, agility and superior customer service that will exceed our Customer’s expectation. If you possess a strong work ethic and a burning desire to succeed and grow your career, then we have an opportunity for YOU!

You MUST be willing to commit yourself to align with our core values: Trust, Innovation, Expertise, Collaboration and Safety. The ability to embrace and utilize Technology as part of your daily routine is crucial.

In addition, YOU are the management and professional representative of the Ryder organization.

If your work experience and/or education aligns with the Requirements and Responsibilities listed below, APPLY NOW!!

Essential Functions
• Goal setting, skills assessment, IDPs, career development, performance evaluation, on-going employee feedback. disciplinary actions. Warning Documentation (performance/disciplinary reviews). Performance Improvement Plans for CLS. Identify situations that needs to be elevated to the director.
• Developing direct and indirect reports. Relevant HR Skills Training information. Providing on-going employee feedback. Conducting quality and effective selection of qualified personnel. Maintaining corrective staffing levels to avoid unnecessary use of outside labor.
• Creating location processes and maintaining SCLM. Cross-training of CLS and CLC.
• Customer satisfaction/problem resolution. Review of KPI tracking and improvement. Ensure that all staff is trained in Transportation/Distribution Management.
• Improve employee retention. Reduce number of accidents against previous year. Ensure that unnecessary overtime is reviewed and reduced. Collision/Team Safety Reporting follow up with LM. Supervisor First Report of Injury reporting follow up with LM.
• Recommend location process initiation and/or improvement and assign responsibility to CLC/CLS. Conduct on-going self-audits of location processes and individual accountabilities.
• SOX invoice reconciliation to FFM designee (if highest level at account). SOX revenue recognition preparation FFM designee (if highest level at account). Invoice to customer.

Additional Responsibilities
• Performs other duties as assigned.

Skills And Abilities
• Demonstrated project management and facilitation skills
• Strong oral and written communications skills
• Ability to create and maintain professional relationships within all levels of the organization (peers, work groups, customers, supervisors)
• Ability to work independently and as a member of a team
• Flexibility to operate and self-driven to excel in a fast-paced environment
• Capable of multi-tasking, highly organized, with excellent time management skills
• Detailed oriented with excellent follow-up practices

Qualifications
• Bachelor's degree required in business, logistics or supply chain
• Seven (7) years or more in relevant logistics and transportation experience with a major carrier, dedicated contract or shipper required
• Six (6) years or more in supply chain, logistics, warehouse or industry related field required
• Seven (7) years or more demonstrated experience in developing complete logistics product plans and their implementation required
• Four (4) years or more supervisory experience required managing/leading direct reports required
• Three (3) years or more in profit & loss required
• One (1) year or more with customer interaction required
• Seven (7) years or more demonstrated experience in developing and implementing complete logistics solutions and project management skills required
• Two (2) years or more in sales required
• Seven (7) years or more with multi-clients required

Travel: 30-40%

DOT Regulated: No

Our people are passionate about what they do, the product they sell, and the customers they serve. If you're looking for an opportunity to be an opportunity to be a part of a work family that values collaboration, innovation and dedication, we're the right company for you.

\#FB

\#INDexempt

\

Job Category: Logistics

Ryder is proud to be an Equal Opportunity Employer and Drug Free workplace. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, among other things, or status as a qualified individual with disability."
Transportation and Logistics,SC&O Transportation Logistics Manager,"Title: Supply Chain & Operations Transportation Logistics Manager

Location: Negotiable

Travel: 80%

About Accenture:

Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 624,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.

Supply Chain and Operations professionals house individuals who help clients develop strategies and operating models that integrate fulfillment functions within an organization, as well as connect suppliers and customers across the extended supply chain.

?

A professional at this position level within Accenture has the following responsibilities:
• Adapts existing methods and procedures to create possible alternative solutions to moderately complex problems. Understands the strategic direction set by senior management as it relates to team goals.
• Uses considerable judgment to determine solution and seeks guidance on complex problems.
• Primary upward interaction is with direct supervisor. Will interact and present to senior level client leaders
• Determines methods and procedures on new assignments with guidance.
• Decisions often impact the team in which they reside.
• Manages small teams and/or work efforts (if in an individual contributor role) at a client or within Accenture.
• Ability to flex between projects and showcase critical thinking skills

Travel:

For now, all Accenture business travel, international and domestic, is currently restricted to client-essential sales/delivery activity only.

Please note: The safety and well-being of our people continues to be the top priority, and our decisions around travel are informed by government COVID-19 response directives, recommendations from leading health authorities and guidance from a number of infectious disease experts"
Account and Financial,Accountant,"YOUR APPLICATION

Bayer offers a wide variety of competitive compensation and benefits programs. If you meet the requirements of this unique opportunity, and you have the ""Passion to Innovate"" and the ""Power to Change"", we encourage you to apply now. To all recruitment agencies: Bayer does not accept unsolicited third party resumes

Bayer is an Equal Opportunity Employer/Disabled/Veterans

Bayer is committed to providing access and reasonable accommodations in its application process for individuals with disabilities and encourages applicants with disabilities to request any needed accommodation(s) using the contact information below.

Location:United States : Missouri : Creve Coeur || United States : Missouri : St. Louis
Division:Enabling Functions
Reference Code:368781

Contact Us"
Account and Financial,Accounting Manager,"job summary:
The Accounting Manager is accountable for finance and accounting operations including assisting with financial reports, maintenance of accounting records, overall cash management (receipts & disbursements), reconciliation of accounts, and owning the internal cash forecast

location: Vienna, Virginia
job type: Permanent
salary: $115,000 - 150,000 per year
work hours: 9 to 5
education: Bachelor's degree
experience: 5 Years

responsibilities:
• Ownership of the internal cash forecast; working collaboratively across the organization to ensure completeness and accuracy
• Oversight for timely disbursements to vendors and partners
• Manage broader treasury operations and cash controls
• In coordination with the Controller, monitor debt levels and compliance with debt covenants
• Manage staff accountants, including AP/Payroll clerk and Accounting Specialists
• Assist in the development and implementation accounting policies, coordinate systems and procedures
• Assist in preparation of monthly, quarterly, and year-end financial reporting and statements in accordance with management and lender requirements (US GAAP)
• Ensure quality control over financial transactions and financial reporting
• Help to maintain system of accounts and keep books and records on all company transactions and assets
• Research technical accounting issues for compliance, as needed
• Various other projects and support the Controller and CFO, as otherwise needed

qualifications:
• Bachelor's degree in Accounting or Finance
• Active CPA is preferred
• Adherence to and ability to manage teams to strict deadlines
• Prior Accounting & Treasury Manager, or other significant accounting experience
• Continual focus on finance operational improvements to save cost and time
• Public accounting experience
If interested, please apply or email Taylor Adkins at taylor.adkins@tatum-us.com

skills: CPA
For certain assignments, Covid-19 vaccination and/or testing may be required by Randstad's client or applicable federal mandate, subject to approved medical or religious accommodations. Carefully review the job posting for details on vaccine/testing requirements or ask your Randstad representative for more information.

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status"
Account and Financial,Revenue Accountant,"Google accountants are a savvy bunch who handle the core accounting responsibilities at Google. You know your accounting principles and the full accounting process end to end. You'll advise on financial reports required by governmental regulations, and review, analyze, and interpret financial and budgetary reports. Every day is a new challenge, and you're continually looking for ways to help our team become more efficient and effective. A team player at heart, you collaborate with our global team, advocate best practices and pitch in where needed. You move fast while keeping your attention to detail, and you tap into your problem-solving skills to support business objectives.

The Business Finance Accounting team partners with product, engineering, and sales teams through design and implementation of product enhancements across Google’s core business (digital advertising). In this role, you will build accounting processes to support the cultivation of our core business growth-generating areas.

The name Google came from ""googol,"" a mathematical term for the number 1 followed by 100 zeros. And nobody at Google loves big numbers like the Finance team when providing in depth analysis on all manner of strategic decisions across Google products. From developing forward-thinking analysis to generating management reports to scaling our automated financial processes, the Finance organization is an important partner and advisor to the business"
Account and Financial,Accounting Analyst,"The Accounting Analyst will be a vital part of the finance team during one of the most exciting times in our history as we expand our Physical, Digital, and Data pillars, which are the bedrock of our value creation journey as a key strategic cell for the M&M’s® Brand, over the next few years. The role will further be responsible for supporting the validity of the US financials.

This role will be a key player that is responsible for a breadth of critical local activities such as period close tasking and reporting, bank & credit card reconciliations, MGS, ICTC, and accounting operations management, tax preparation, reporting & relationships, government reporting, assistance in payroll management, local compliance & audits, incentive plans, balance sheet reconciliations, relationship with property agents and vendors, intercompany cross charges, NCFO forecasting and variances, fixed asset and stock inventory management, and supply chain, commercial, & logistics support.

What are we looking for?
• Degree in Accounting, Finance, or equivalent
• Greater than 5 Years Relevant Experience
• Retail Experience Strongly Preferred
• Extensive and Detailed Analytic Abilities
• Advanced Excel Skills
• SAP Experience

What will be your key responsibilities?

Financial Accounting
• Management of MGS, ICTC, and Accounting Operations for – Accounts Payable, Accounts Receivable, General Accounting including Accruals, Prepayments and Bank reconciliations, Inhouse payments, Fixed Assets, Inter Company.
• Assist in Periodic Accounting Close Management – including Period, Quarter & Year
• Transactional accounting and management of weekly/periodic payroll costs
• Perform period-end cash and credit card accounting, confirming timely credit card settlements and proper cash controls

Blackline BS Reconciliations
• Periodic preparation of approx. 30 Balance Sheet accounts to ensure the integrity of financial data
• Investigate any discrepancies working with various stakeholders to rectify the issue
• Blackline administrator for US

Governance and Control
• Maintain and implement updates for Global ICE Controls on an ongoing basis
• Bank Credit Card & Cash reconciliations including follow ups with IT, Financial Institutions, stores, cash processing / security company, G4S etc.
• Working with Loss Prevention Team on fraud detection and investigation
• Fraud detection and investigation for online financial transactions
• Support warehouse and US stores audits / annual stock takes ensuring they are carried out to the Mars standards
• Oversee Corporate Credit Card, e-device and R25 policy confirmation; and support audits on this area as needed
• Identify opportunities for continuous improvement in processes and systems
• Ensure compliance to the Mars Finance Manual, proper governance, and application of internal controls for all areas of responsibility.

Tax Reporting and Management
• Tax, Insurance and Business Compliance – compile unit submissions to ensure timely filing and payments of all applicable national & local taxes including sales and use tax (stores and online), tariffs and import duties.
• Assist Finance Managers with year-end & other audit processes with PwC, internal auditors; ensure timely resolution of all findings and comments.
• Support government audits, regulatory reporting, and incentive programs.

General
• Support local market projects (Growth, Governance & Efficiencies) and provide ad hoc financial analysis
• Support technical set up including implementing and testing of functional systems, i.e. SAP
• Manage /review insurance policies and payments for MRG US and global policies that need to be allocated.
• Labor reporting for stores
• Business level bonus accruals and benefits
• Store level incentive plan accruals and payout calculation
• Master data changes requests for MRG
• Manage royalties-internal and external reporting, payments and audits
• US Stores rent management - ensure timely payments and maintain relationship with landlords
• Manage intercompany cross charges.
• Support Store Operations in setting up and attaining local business license and compliance
• Maintain relationship with Ryan Tax Services
• Provide Supply Chain & Logistics financial support, analysis & Governance

What can you expect from Mars?
• Work with over 130,000 like-minded and talented Associates, all guided by The Five Principles.
• Join a purpose driven company, where we’re striving to build the world we want tomorrow, today.
• Best-in-class learning and development support from day one, including access to our in-house Mars University.
• An industry competitive salary and benefits package, including company bonus"
